URL,Title,Location,Price,District,Area,Bedrooms,Bathrooms
https://aqarmap.com.eg/en/listing/6879767-for-rent-cairo-new-cairo-compounds-mivida-mivida-parcel/,شقه أرضي بجاردن للإيجار في كمبوند ميفيدا بارسيل in Mivida Parcel . Aqarmap,"New Cairo - 5th Settlement
/
Mivida Parcel","75,000 EGP/month",Mivida Parcel,186 m²,3 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6878526-for-rent-cairo-new-cairo-compounds-blm-hylz-nyw-kyrw/,Apartment For rent in Palm Hills New Cairo - PHNC in Palm Hills New Cairo - PHNC . Aqarmap,"New Cairo - 5th Settlement
/
Palm Hills New Cairo - PHNC","40,000 EGP/month",Palm Hills New Cairo - PHNC,185 m²,3 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6874412-for-rent-cairo-new-cairo-compounds-cairo-festival-city-auraa-cairo-festival-city/,Hotel furnished Apartment & garden for rent in CFC in Aura - Cairo Festival City Compound . Aqarmap,"New Cairo - 5th Settlement
/
Aura - Cairo Festival City Compound","95,000 EGP/month",Aura - Cairo Festival City Compound,160 m²,2 rooms,4 bathroom
https://aqarmap.com.eg/en/listing/6655877-for-rent-cairo-el-sheikh-zayed-city-compounds-hadayek-el-mohandiseen/,Apartment For rent in Hadayek El Mohandiseen in Hadayek El Mohandiseen . Aqarmap,"El Sheikh Zayed
/
Hadayek El Mohandiseen","20,000 EGP/month",Hadayek El Mohandiseen,130 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6879776-for-rent-cairo-new-cairo-compounds-mivida-mivida-parcel/,Luxurious Furnished Apartment for Rent – Mivida Compound in Mivida Parcel . Aqarmap,"New Cairo - 5th Settlement
/
Mivida Parcel","110,000 EGP/month",Mivida Parcel,165 m²,3 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6878762-for-rent-cairo-new-cairo-compounds-the-address-east/,Apartment For rent in The Address East Compound - Dorra in The Address East Compound - Dorra . Aqarmap,"New Cairo - 5th Settlement
/
The Address East Compound - Dorra","25,000 EGP/month",The Address East Compound - Dorra,171 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6604605-for-rent-cairo-el-sheikh-zayed-city-el-hay-elthamen-lhkm/,Apartment For rent in El Hekma St. in El Hekma St. . Aqarmap,"El Sheikh Zayed
/
El Hekma St.","20,000 EGP/month",El Hekma St.,180 m²,3 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6869194-for-rent-cairo-new-cairo-compounds-mountain-view-hyde-park/,Duplex for rent in Mountain View ERK in Mountain View Hyde Park Compound . Aqarmap,"New Cairo - 5th Settlement
/
Mountain View Hyde Park Compound","70,000 EGP/month",Mountain View Hyde Park Compound,277 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6869212-for-rent-cairo-new-cairo-compounds-cairo-festival-city-festival-living-cairo-festival-city/,Apartment for rent with ground floor in Garden - Living Cairo Festival in Festival Living - Cairo Festival City Compound . Aqarmap,"New Cairo - 5th Settlement
/
Festival Living - Cairo Festival City Compound","132,500 EGP/month",Festival Living - Cairo Festival City Compound,220 m²,3 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6866695-for-rent-cairo-new-cairo-compounds-eastown-eastown-parks/,Studio apartment for rent in sodic Eastown in Eastown Parks - Eastown Compound . Aqarmap,"New Cairo - 5th Settlement
/
Eastown Parks - Eastown Compound","50,000 EGP/month",Eastown Parks - Eastown Compound,70 m²,1 rooms,1 bathroom
https://aqarmap.com.eg/en/listing/6742807-for-rent-cairo-6th-of-october-compounds-october-plaza/,Apartment For rent in October Plaza Compound - Sodic in October Plaza Compound - Sodic . Aqarmap,"6th of October
/
October Plaza Compound - Sodic","30,000 EGP/month",October Plaza Compound - Sodic,205 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6604605-for-rent-cairo-el-sheikh-zayed-city-el-hay-elthamen-lhkm/,Apartment For rent in El Hekma St. in El Hekma St. . Aqarmap,"El Sheikh Zayed
/
El Hekma St.","20,000 EGP/month",El Hekma St.,180 m²,3 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6858807-for-rent-cairo-new-cairo-compounds-lakeview-residence/,For rent - شقة بحديقة 145 M² Extra super lux in Lake View Residence - El Hazek . Aqarmap,"New Cairo - 5th Settlement
/
Lake View Residence - El Hazek","75,000 EGP/month",Lake View Residence - El Hazek,145 m²,2 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6831455-for-rent-cairo-new-cairo-compounds-eastown-eastown-parks/,Apartment 210 M² For rent in Eastown Parks - Eastown Compound in Eastown Parks - Eastown Compound . Aqarmap,"New Cairo - 5th Settlement
/
Eastown Parks - Eastown Compound","65,000 EGP/month",Eastown Parks - Eastown Compound,210 m²,3 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6850760-for-rent-cairo-new-cairo-el-lotus-lotus-south/,سكني For rent in Lotus South in Lotus South . Aqarmap,"New Cairo - 5th Settlement
/
Lotus South","38,000 EGP/month",Lotus South,315 m²,4 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6837402-for-rent-cairo-new-cairo-el-choueifat-al-shouyfat-st/,For rent - روف 400 M² Extra super lux in El Choueifat St. in El Choueifat St. . Aqarmap,"New Cairo - 5th Settlement
/
El Choueifat St.","50,000 EGP/month",El Choueifat St.,400 m²,3 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6745185-for-rent-cairo-6th-of-october-compounds-grand-heights/,Apartment For rent in Grand Heights Compound - Kuwadico in Grand Heights Compound - Kuwadico . Aqarmap,"6th of October
/
Grand Heights Compound - Kuwadico","22,000 EGP/month",Grand Heights Compound - Kuwadico,130 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6666367-for-rent-cairo-al-zamalek-shr-ljzyr-lwsty-ywsf-kml/,Apartment for rent 150 m new law in Zamalek in El Gezira El Wosta St. - Youssef Kamel . Aqarmap,"El Zamalek
/
El Gezira El Wosta St. - Youssef Kamel","40,000 EGP/month",El Gezira El Wosta St. - Youssef Kamel,150 m²,2 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6728533-for-rent-cairo-new-cairo-compounds-ninety-avenue/,شقة مفروشة بحديقة خاصة - كمبوند ميفيدا in 90 Avenue Compound - Tabarak . Aqarmap,"New Cairo - 5th Settlement
/
90 Avenue Compound - Tabarak","95,000 EGP/month",90 Avenue Compound - Tabarak,200 m²,3 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6838960-for-rent-cairo-new-cairo-compounds-mivida-blue-views-residences-mivida/,Apartment for rent in Mivida in Blue Views Residences - Mivida Compound . Aqarmap,"New Cairo - 5th Settlement
/
Blue Views Residences - Mivida Compound","120,000 EGP/month",Blue Views Residences - Mivida Compound,250 m²,3 rooms,4 bathroom
https://aqarmap.com.eg/en/listing/6604596-for-rent-cairo-el-sheikh-zayed-city-compounds-dh-drys/,Apartment Extra super lux For rent in The Address Compound - Dorra in The Address Compound - Dorra . Aqarmap,"El Sheikh Zayed
/
The Address Compound - Dorra","25,000 EGP/month",The Address Compound - Dorra,112 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6858280-for-rent-cairo-new-cairo-compounds-lakeview-residence/,Smart Penthouse (private pool) semi-furnished in Lake View Residence - El Hazek . Aqarmap,"New Cairo - 5th Settlement
/
Lake View Residence - El Hazek","165,000 EGP/month",Lake View Residence - El Hazek,369 m²,3 rooms,5 bathroom
https://aqarmap.com.eg/en/listing/6831470-for-rent-cairo-new-cairo-el-narges-el-narges-4-wasef-ghaly-basha-st/,For rent - Apartment 180 M² Super lux in Wasef Ghaly Basha St. . Aqarmap,"New Cairo - 5th Settlement
/
Wasef Ghaly Basha St.","25,000 EGP/month",Wasef Ghaly Basha St.,180 m²,2 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6720240-for-rent-cairo-el-sheikh-zayed-city-compounds-jn-2/,Apartment For rent in Janna 2 in Janna 2 . Aqarmap,"El Sheikh Zayed
/
Janna 2","23,000 EGP/month",Janna 2,140 m²,3 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6837212-for-rent-cairo-new-cairo-compounds-gardenia-hights-abo-el-hawl-abo-el-hawl-2/,شقة للإيجار في التجمع الخامس – جاردينيا 2 بالقرب من محور جمال عبد الناصر in Abo El Hawl 2 . Aqarmap,"New Cairo - 5th Settlement
/
Abo El Hawl 2","20,000 EGP/month",Abo El Hawl 2,200 m²,3 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6627105-for-rent-cairo-el-sheikh-zayed-city-compounds-opera-city/,ستوديو للايجار مفروش + جاردن الشيخ زايد كمبوند اوبرا سيتى ريسبشن و غرفه نوم منفص in Opera City - HDB . Aqarmap,"El Sheikh Zayed
/
Opera City - HDB","18,000 EGP/month",Opera City - HDB,70 m²,1 rooms,1 bathroom
https://aqarmap.com.eg/en/listing/6812637-for-rent-cairo-new-cairo-compounds-mivida-mivida-business-park-emaar/,ستوديو للإيجار في ميفيدا بيزنس بارك - كمبوند ميفيدا in Mivida Business Park - Mivida Compound . Aqarmap,"New Cairo - 5th Settlement
/
Mivida Business Park - Mivida Compound","80,000 EGP/month",Mivida Business Park - Mivida Compound,95 m²,1 rooms,1 bathroom
https://aqarmap.com.eg/en/listing/6569087-for-rent-cairo-el-sheikh-zayed-city-compounds-hadayek-el-mohandiseen/,Apartment For rent in Hadayek El Mohandiseen in Hadayek El Mohandiseen . Aqarmap,"El Sheikh Zayed
/
Hadayek El Mohandiseen","17,000 EGP/month",Hadayek El Mohandiseen,107 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6639674-for-rent-cairo-el-sheikh-zayed-city-compounds-opera-city/,ستوديو For rent in Opera City - HDB in Opera City - HDB . Aqarmap,"El Sheikh Zayed
/
Opera City - HDB","18,000 EGP/month",Opera City - HDB,70 m²,1 rooms,1 bathroom
https://aqarmap.com.eg/en/listing/6726701-for-rent-cairo-el-sheikh-zayed-city-compounds-dh-drys/,شقة بحديقة For rent in The Address Compound - Dorra in The Address Compound - Dorra . Aqarmap,"El Sheikh Zayed
/
The Address Compound - Dorra","28,000 EGP/month",The Address Compound - Dorra,109 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6432829-for-rent-cairo-el-sheikh-zayed-city-compounds-kmbwnd-fyldj-wyst-dr-llttwyr/,شقق للإيجار في كمبوند فيلدج ويست - درة in Village West Compound - Dorra . Aqarmap,"El Sheikh Zayed
/
Village West Compound - Dorra","20,000 EGP/month",Village West Compound - Dorra,75 m²,1 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6726746-for-rent-cairo-6th-of-october-compounds-mountain-view-icity-october-mv-park-mountain-view-icity-october/,Apartment For rent in MV Park - Mountain View iCity October Compound in MV Park - Mountain View iCity October Compound . Aqarmap,"6th of October
/
MV Park - Mountain View iCity October Compound","25,000 EGP/month",MV Park - Mountain View iCity October Compound,155 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6826508-for-rent-cairo-new-cairo-el-narges-el-narges-6-kaeb-ebn-malek-st/,Penthouse 420 M² For rent in Kaeb Ebn Malek St. in Kaeb Ebn Malek St. . Aqarmap,"New Cairo - 5th Settlement
/
Kaeb Ebn Malek St.","41,000 EGP/month",Kaeb Ebn Malek St.,420 m²,5 rooms,4 bathroom
https://aqarmap.com.eg/en/listing/6602573-for-rent-cairo-new-cairo-el-banafsg-el-banafsag-1-tagan-st/,Apartment For rent in Tagan St. in Tagan St. . Aqarmap,"New Cairo - 5th Settlement
/
Tagan St.","35,000 EGP/month",Tagan St.,360 m²,5 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6783949-for-rent-cairo-new-cairo-lrhb-city-phase-5-talaat-mostafa-st/,(MA) Apartment For rent in Talaat Mostafa St. in Talaat Mostafa St. . Aqarmap,"New Cairo - 5th Settlement
/
Talaat Mostafa St.","50,000 EGP/month",Talaat Mostafa St.,145 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6818975-for-rent-cairo-new-cairo-compounds-lakeview-residence/,Modern Furnished Apartment garden+pool for rent in lake view in Lake View Residence - El Hazek . Aqarmap,"New Cairo - 5th Settlement
/
Lake View Residence - El Hazek","120,000 EGP/month",Lake View Residence - El Hazek,220 m²,2 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6837255-for-rent-cairo-new-cairo-compounds-mivida-boulevard-mivida/,شقة للإيجار فى بوليفارد ريزيدنس ميفيدا in Boulevard Residence Mivida . Aqarmap,"New Cairo - 5th Settlement
/
Boulevard Residence Mivida","130,000 EGP/month",Boulevard Residence Mivida,235 m²,3 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6835733-for-rent-cairo-6th-of-october-compounds-october-plaza/,For rent - Apartment 205 M² Super lux in October Plaza Compound - Sodic in October Plaza Compound - Sodic . Aqarmap,"6th of October
/
October Plaza Compound - Sodic","30,000 EGP/month",October Plaza Compound - Sodic,205 m²,3 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6803653-for-rent-cairo-new-cairo-compounds-leila-compound/,ستوديو للإيجار في كمبوند ليلة in Leila Compound . Aqarmap,"New Cairo - 5th Settlement
/
Leila Compound","25,000 EGP/month",Leila Compound,60 m²,1 rooms,1 bathroom
https://aqarmap.com.eg/en/listing/6730837-for-rent-cairo-el-sheikh-zayed-city-compounds-kmbwnd-fyldj-wyst-dr-llttwyr/,شقق للإيجار في كمبوند فيلدج ويست - درة in Village West Compound - Dorra . Aqarmap,"El Sheikh Zayed
/
Village West Compound - Dorra","26,000 EGP/month",Village West Compound - Dorra,123 m²,2 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6620209-for-rent-cairo-el-sheikh-zayed-city-compounds-kmbwnd-fyldj-wyst-dr-llttwyr/,شقق للإيجار في كمبوند فيلدج ويست - درة in Village West Compound - Dorra . Aqarmap,"El Sheikh Zayed
/
Village West Compound - Dorra","20,000 EGP/month",Village West Compound - Dorra,75 m²,1 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6621544-for-rent-cairo-6th-of-october-compounds-mountain-view-icity-october-mv-park-mountain-view-icity-october/,Apartment Extra super lux For rent in MV Park - Mountain View iCity October Compound in MV Park - Mountain View iCity October Compound . Aqarmap,"6th of October
/
MV Park - Mountain View iCity October Compound","27,000 EGP/month",MV Park - Mountain View iCity October Compound,155 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6747417-for-rent-cairo-new-cairo-compounds-town-residence/,Apartment For rent in Town Residence Compound - El Shams in Town Residence Compound - El Shams . Aqarmap,"New Cairo - 5th Settlement
/
Town Residence Compound - El Shams","17,000 EGP/month",Town Residence Compound - El Shams,165 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6818957-for-rent-cairo-new-cairo-compounds-lakeview-residence/,Lake View-Furnished Apartment+Garden View on Lakes in Lake View Residence - El Hazek . Aqarmap,"New Cairo - 5th Settlement
/
Lake View Residence - El Hazek","75,000 EGP/month",Lake View Residence - El Hazek,144 m²,2 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6830982-for-rent-cairo-el-sheikh-zayed-city-compounds-kmbwnd-fyldj-wyst-dr-llttwyr/,Apartment Extra super lux For rent in Village West Compound - Dorra in Village West Compound - Dorra . Aqarmap,"El Sheikh Zayed
/
Village West Compound - Dorra","33,000 EGP/month",Village West Compound - Dorra,164 m²,3 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6720443-for-rent-cairo-el-sheikh-zayed-city-compounds-hadayek-el-mohandiseen/,Apartment For rent in Hadayek El Mohandiseen in Hadayek El Mohandiseen . Aqarmap,"El Sheikh Zayed
/
Hadayek El Mohandiseen","20,000 EGP/month",Hadayek El Mohandiseen,129 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6655837-for-rent-cairo-el-sheikh-zayed-city-el-hay-elthamen-area-1/,شقه للايجار الشيخ زايد الحى الثامن 3 غرف نوم 3 حمام مطبخ و تكيفات فيو ميدان in Area 1 . Aqarmap,"El Sheikh Zayed
/
Area 1","27,000 EGP/month",Area 1,230 m²,3 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6758994-for-rent-cairo-el-sheikh-zayed-city-el-hay-elthamen-area-1/,شقة بحديقة For rent in Area 1 in Area 1 . Aqarmap,"El Sheikh Zayed
/
Area 1","18,000 EGP/month",Area 1,170 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6672567-for-rent-cairo-el-sheikh-zayed-city-compounds-hadayek-el-mohandiseen/,Apartment Extra super lux For rent in Hadayek El Mohandiseen in Hadayek El Mohandiseen . Aqarmap,"El Sheikh Zayed
/
Hadayek El Mohandiseen","20,000 EGP/month",Hadayek El Mohandiseen,130 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6586792-for-rent-cairo-el-sheikh-zayed-city-compounds-hadayek-el-mohandiseen/,Apartment Extra super lux For rent in Hadayek El Mohandiseen in Hadayek El Mohandiseen . Aqarmap,"El Sheikh Zayed
/
Hadayek El Mohandiseen","17,000 EGP/month",Hadayek El Mohandiseen,107 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6586792-for-rent-cairo-el-sheikh-zayed-city-compounds-hadayek-el-mohandiseen/,Apartment Extra super lux For rent in Hadayek El Mohandiseen in Hadayek El Mohandiseen . Aqarmap,"El Sheikh Zayed
/
Hadayek El Mohandiseen","17,000 EGP/month",Hadayek El Mohandiseen,107 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6835247-for-rent-cairo-new-cairo-compounds-cairo-festival-city-cairo-festival-city-mall-cfc-mall/,شقة ارضي بجاردن للايجار في كايرو فيستيفال سيتي in Cairo Festival City Mall - CFC . Aqarmap,"New Cairo - 5th Settlement
/
Cairo Festival City Mall - CFC","88,000 EGP/month",Cairo Festival City Mall - CFC,145 m²,2 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6827264-for-rent-jnwb-syn-dahb-nadira-compound-dahab/,For rent - ستوديو فندقي 60 M² Extra super lux in Nadira Compound - Dahab in Nadira Compound - Dahab . Aqarmap,"Dahab
/
Nadira Compound - Dahab","40,000 EGP/month",Nadira Compound - Dahab,60 m²,1 rooms,1 bathroom
https://aqarmap.com.eg/en/listing/6600332-for-rent-cairo-new-cairo-compounds-district-5-the-plateau-district-5/,شقة مفروشة بالكامل للإيجار في ديستريكت 5 in The Plateau - District 5 Compound . Aqarmap,"New Cairo - 5th Settlement
/
The Plateau - District 5 Compound","65,000 EGP/month",The Plateau - District 5 Compound,156 m²,2 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6784954-for-rent-cairo-new-cairo-compounds-the-square/,"Modern Apartment in The Square Compound, New Cairo with kitchen & ACS in The Square Compound - Sabbour . Aqarmap","New Cairo - 5th Settlement
/
The Square Compound - Sabbour","40,000 EGP/month",The Square Compound - Sabbour,165 m²,3 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6831261-for-rent-cairo-new-cairo-compounds-cairo-festival-city-festival-living-cairo-festival-city/,شقة بحديقة Extra super lux For rent in Festival Living - Cairo Festival City Compound in Festival Living - Cairo Festival City Compound . Aqarmap,"New Cairo - 5th Settlement
/
Festival Living - Cairo Festival City Compound","80,000 EGP/month",Festival Living - Cairo Festival City Compound,145 m²,2 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6836991-for-rent-cairo-new-cairo-compounds-el-patio-oro/,For rent - Apartment 168 M² Extra super lux in El Patio Oro Compound - La Vista in El Patio Oro Compound - La Vista . Aqarmap,"New Cairo - 5th Settlement
/
El Patio Oro Compound - La Vista","55,000 EGP/month",El Patio Oro Compound - La Vista,168 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6835384-for-rent-cairo-new-cairo-compounds-cairo-festival-city-cairo-festival-city-mall-cfc-mall/,Apartment Extra super lux For rent in Cairo Festival City Mall - CFC in Cairo Festival City Mall - CFC . Aqarmap,"New Cairo - 5th Settlement
/
Cairo Festival City Mall - CFC","91,000 EGP/month",Cairo Festival City Mall - CFC,166 m²,2 rooms,4 bathroom
https://aqarmap.com.eg/en/listing/6839148-for-rent-cairo-new-cairo-compounds-cairo-festival-city-cairo-festival-city-mall-cfc-mall/,For rent - دوبلكس بحديقة 360 M² Extra super lux in Cairo Festival City Mall - CFC in Cairo Festival City Mall - CFC . Aqarmap,"New Cairo - 5th Settlement
/
Cairo Festival City Mall - CFC","140,000 EGP/month",Cairo Festival City Mall - CFC,360 m²,4 rooms,4 bathroom
https://aqarmap.com.eg/en/listing/6592598-for-rent-cairo-new-cairo-compounds-galleria-moon-valley-compound-arabia/,"Modern 2-Bedroom Apartment for Rent in Galleria Moon Valley, New Cairo in Galleria Moon Valley Compound - Arabia . Aqarmap","New Cairo - 5th Settlement
/
Galleria Moon Valley Compound - Arabia","35,000 EGP/month",Galleria Moon Valley Compound - Arabia,133 m²,2 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6816508-for-rent-cairo-new-cairo-compounds-mountain-view-hyde-park/,Penthouse Roof for Rent In Mountain View Hyde park in Mountain View Hyde Park Compound . Aqarmap,"New Cairo - 5th Settlement
/
Mountain View Hyde Park Compound","80,000 EGP/month",Mountain View Hyde Park Compound,166 m²,3 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6817001-for-rent-cairo-new-cairo-compounds-el-patio-oro/,Apartment For Rent In El patio Oro in El Patio Oro Compound - La Vista . Aqarmap,"New Cairo - 5th Settlement
/
El Patio Oro Compound - La Vista","45,000 EGP/month",El Patio Oro Compound - La Vista,128 m²,2 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6816429-for-rent-cairo-new-cairo-compounds-mountain-view-hyde-park/,شقة للايجار فى ماونتن فيو هايد بارك in Mountain View Hyde Park Compound . Aqarmap,"New Cairo - 5th Settlement
/
Mountain View Hyde Park Compound","50,000 EGP/month",Mountain View Hyde Park Compound,161 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6823843-for-rent-cairo-new-cairo-compounds-eastown-district-sodic/,شقة مميزة للإيجار في ايستاون موقع مميز in Eastown District Mall - Sodic . Aqarmap,"New Cairo - 5th Settlement
/
Eastown District Mall - Sodic","80,000 EGP/month",Eastown District Mall - Sodic,210 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6823782-for-rent-cairo-new-cairo-compounds-eastown-eastown-parks/,دوبلكس مفروش بحديقة كبيرة للإيجار في إيستاون in Eastown Parks - Eastown Compound . Aqarmap,"New Cairo - 5th Settlement
/
Eastown Parks - Eastown Compound","150,000 EGP/month",Eastown Parks - Eastown Compound,263 m²,3 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6816413-for-rent-cairo-new-cairo-compounds-mountain-view-hyde-park/,Apartment for Rent In Mountain View Hyde park in Mountain View Hyde Park Compound . Aqarmap,"New Cairo - 5th Settlement
/
Mountain View Hyde Park Compound","40,000 EGP/month",Mountain View Hyde Park Compound,115 m²,2 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6825582-for-rent-cairo-new-cairo-compounds-eastown-district-sodic/,For rent - Apartment 210 M² Extra super lux in Eastown District Mall - Sodic . Aqarmap,"New Cairo - 5th Settlement
/
Eastown District Mall - Sodic","80,000 EGP/month",Eastown District Mall - Sodic,210 m²,3 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6825602-for-rent-cairo-new-cairo-compounds-eastown-district-sodic/,Apartment Extra super lux For rent in Eastown District Mall - Sodic in Eastown District Mall - Sodic . Aqarmap,"New Cairo - 5th Settlement
/
Eastown District Mall - Sodic","40,000 EGP/month",Eastown District Mall - Sodic,152 m²,2 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6823864-for-rent-cairo-new-cairo-compounds-eastown-district-sodic/,Apartment 150 M² Extra super lux in Eastown District Mall - Sodic in Eastown District Mall - Sodic . Aqarmap,"New Cairo - 5th Settlement
/
Eastown District Mall - Sodic","110,000 EGP/month",Eastown District Mall - Sodic,150 m²,2 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6835215-for-rent-cairo-new-cairo-compounds-cairo-festival-city-cairo-festival-city-mall-cfc-mall/,شقة للايجار في كايرو فيستيفال سيتي in Cairo Festival City Mall - CFC . Aqarmap,"New Cairo - 5th Settlement
/
Cairo Festival City Mall - CFC","84,000 EGP/month",Cairo Festival City Mall - CFC,150 m²,2 rooms,3 bathroom
